Link,Price,Model,Make,Year,Mileage,Steering Side,Seller Name,Trim,Regional Specs,Warranty,Exterior Color,Body Collection,Body Type,Mechanical Condition,Cylinder,Transmission Type,Horsepower,Fuel Type,Description
https://dubai.dubizzle.com/motors/used-cars/ford/edge/2023/8/1/gcc-2019-ecoboost-awd-leather-seats-naviga-2-542---08457019d7724c96ac2562e8fed7ef94//,"89,600 ",Edge,Ford,2019,"58,218 km",Left Hand,VESLA MOTORS,SEL,GCC Specs,Yes,Black,Perfect inside and out,SUV,Perfect inside and out,4,Automatic Transmission,100 - 200 HP,Petrol,"['REFERENCE #: VE3453 ', 'BRANCH ALLOCATED STOCKS: ']"
https://dubai.dubizzle.com/motors/used-cars/bmw/8-series/2023/7/17/bmw-840i-coupe-m-sport-pro-ref-135091-2-710---b53ff8e17af84f80bbe38fa436370b31//,"410,000 ",8-Series,BMW,2023,"2,490 km",Left Hand,AGMC - BMW,840i,GCC Specs,Yes,Grey,Perfect inside and out,Coupe,Perfect inside and out,6,Automatic Transmission,300 - 400 HP,Petrol,"['• AGMC is the official BMW Group Importer in Dubai, Sharjah & Northern Emirates. ', '• BPS is the Certified Pre-Owned Vehicle program  of  ']"
https://dubai.dubizzle.com/motors/used-cars/bmw/xm/2023/7/6/bmw-xm-shadow-line-2-677---a40b234fcf4346a499789405546c222b//,"680,000 ",XM,BMW,2023,"6,000 km",Left Hand,AGMC - BMW,Other,GCC Specs,Yes,Green,Perfect inside and out,SUV,Perfect inside and out,8,Automatic Transmission,700 - 800 HP,Hybrid,"['• AGMC is the official BMW Group Importer in Dubai, Sharjah & Northern Emirates. ', '• BPS is the Certified Pre-Owned Vehicle program  of  ']"
https://dubai.dubizzle.com/motors/used-cars/land-rover/range-rover/2023/8/1/2023-range-rover-sv-p530-v8-meridian-inter-2-491---54f60fe9626448d58b95660bae262aa9//,"1,190,000 ",Range Rover,Land Rover,2023,15 km,Left Hand,Elite Cars,Other,Other,Yes,Blue,Perfect inside and out,SUV,Perfect inside and out,8,Automatic Transmission,500 - 600 HP,Petrol,"['REF NUMBER: E238316 ', 'The Elite Cars, one of the leading car dealerships in the UAE, takes pride in their selection of the most exclusive and sought-after vehicles from the world’s legendary marques. ']"
https://dubai.dubizzle.com/motors/used-cars/hyundai/staria/2023/8/7/hyundai-staria-35l-v6-royal-edition-gcc-sp-2-137---9778cb40736145d795fcb04f0b6ea0e0//,"165,000 ",Staria,Hyundai,2023,0 km,Left Hand,Mohamed AlKady General Trading L.L.C,Other,GCC Specs,No,White,Perfect inside and out,Van,Perfect inside and out,6,Automatic Transmission,400 - 500 HP,Petrol,"['ALKADY CARS FZE ', 'HYUNDAI STARIA 3.5L V6 ROYAL EDITION ']"
https://dubai.dubizzle.com/motors/used-cars/land-rover/defender/2023/7/22/2023-land-rover-defender-110-hse-p400-x-dy-2-412---6f1cb5365a354287a532bc3aec5e32ac//,"429,000 ",Defender,Land Rover,2023,5 km,Left Hand,Dresden Used Cars Tr . L L C - Dubai Branch,110 X-Dynamic,European Specs,No,Grey,Perfect inside and out,SUV,Perfect inside and out,6,Automatic Transmission,400 - 500 HP,Petrol,"['2023 Land Rover Defender 110 HSE P400 X-Dynamic. BRAND NEW. ', 'Germany Specifications, AWD ']"
https://dubai.dubizzle.com/motors/used-cars/dodge/charger/2023/7/26/alcantara-seatssrtscat-pack64l-2-335---222e661317424c6c9e4ebfa066267470//,"85,000 ",Charger,Dodge,2017,"110,000 km",Left Hand,Kandy Used Cars Tr.,SRT 392,American Specs,Does not apply,Grey,Perfect inside and out,Sedan,Perfect inside and out,8,Automatic Transmission,400 - 500 HP,Petrol,"['We are specialist in sports cars and we have all types of Mustang, Camaro, Charger, Challenger, etc. ', 'Instagram: #Kandycars_UAE ']"
https://dubai.dubizzle.com/motors/used-cars/mercedes-benz/s-class/2022/11/25/45b-grade-s550l-amg-kit-model-2014-low-mil-2-226---28c7e12aed434e87b8cb6c64aa06a413//,"145,000 ",S-Class,Mercedes-Benz,2014,"75,000 km",Left Hand,Drive Zone FZE,S 550,Japanese Specs,Does not apply,Black,Perfect inside and out,Sedan,Perfect inside and out,8,Automatic Transmission,Unknown,Petrol,"['-Very Clean Mercedes Benz S550L AMG kit ', '•Only 75,000 KM ']"
https://dubai.dubizzle.com/motors/used-cars/mazda/cx-9/2023/8/9/mazda-cx9-gcc7seatertop-optionfor-sale-aed-2-459---4b10a0ea516e4851bc61c9365f0eb41d//,"48,000 ",CX-9,Mazda,2016,"110,000 km",Left Hand,Munich Cars Trading L.L.C,GTX,GCC Specs,Does not apply,Red,Perfect inside and out,SUV,Perfect inside and out,6,Automatic Transmission,300 - 400 HP,Petrol,"['MAZDA CX9 #GCC# FULL OPTION 4X4 ', 'ACCIDENT FREE AND WELL MAINTAINED FOR SALE AED 48000/- ']"
https://dubai.dubizzle.com/motors/used-cars/porsche/carrera/2023/8/9/porsche-911-carrera-gt3-rs-2017-gcc-low-km-2-566---d1dfb6b138054a7db9ae132e87225d93//,"669,500 ",Carrera / 911,Porsche,2017,"1,752 km",Left Hand,Sun City Motors,GT3,GCC Specs,Does not apply,Orange,Perfect inside and out,Coupe,Perfect inside and out,8,Automatic Transmission,400 - 500 HP,Petrol,"['Stunning 2017 Porsche 911 Carrera GT3 RS (991.1) GCC with only 1,000 km!!   ', '4.0 Litre 6 cylinder, Rear Wheel Drive, 7 Speed Automatic with 493 BHP...   ']"
