Resturant Name,Website,Email,Phone Number,Instagram,Facebook
August,http://www.restaurantaugust.com/,"['info@restaurantaugust.com', 'info@restaurantaugust.com', 'info@restaurantaugust.com']",+1 504-299-9777,https://www.instagram.com/restaurantaugustneworleans/,https://www.facebook.com/restaurantaugustneworleans/
Crab House,http://www.crabhouseny.com/,[],+1 212-933-0264,https://www.instagram.com/crabhouseny/,https://www.facebook.com/crabhouseny/
Cochon Restaurant,http://www.cochonrestaurant.com/,[],+1 504-588-2123,,
Next Restaurant,http://www.nextrestaurant.com/,"['hospitality@nextrestaurant.com', 'user@domain.com', 'hospitality@nextrestaurant.com', 'hospitality@nextrestaurant.com']",,,
Delta's,http://www.deltasrestaurant.com/,[],+1 732-249-1551,https://www.instagram.com/deltas99/,https://www.facebook.com/DeltasRestaurant/
Arethusa al tavolo,http://www.arethusaaltavolo.com/,"['robert@arethusaaltavolo.com', 'orders@arethusaaltavolo.com', 'orders@arethusaaltavolo.com', 'user@domain.com', 'robert@arethusaaltavolo.com', 'robert@arethusaaltavolo.com', 'info@arethusaaltavolo.com']",+1 860-567-0043,https://www.instagram.com/arethusaaltavolo/,https://www.facebook.com/arethusaaltavolo/
Alinea,http://www.alinearestaurant.com/,"['user@domain.com', 'hospitality@alinearestaurant.com', 'hospitality@alinearestaurant.com', 'press@thealineagroup.com', 'press@thealineagroup.com', 'user@domain.com', 'hospitality@alinearestaurant.com', 'hospitality@alinearestaurant.com']",,https://www.instagram.com/thealineagroup/,
The Nordic,http://www.thenordic.com/,['195879@2x.webp'],+1 401-783-4515,,
Fixe Southern House,http://fixesouthernhouse.com/,[],+1 512-888-9133,,
The Front Yard,http://www.thefrontyardla.com/,[],+1 818-255-7290,,https://www.facebook.com/thefrontyardla/
Babe's Chicken Dinner House,http://www.babeschicken.com/our-kitchens/frisco/,[],+1 214-387-9500,,
Husk,http://huskrestaurant.com/,[],+1 843-577-2500,,
Boka,http://www.bokachicago.com/,[],+1 312-337-6070,,https://www.facebook.com/bokachicago/
Keens Steakhouse,http://www.keens.com/,"['banquets@keens.com', 'banquets@keens.com']",+1 212-947-3636,https://www.instagram.com/keenssteakhouse/,https://www.facebook.com/KeensSteakhouse/
Babe's Chicken Dinner House,http://www.babeschicken.com/,[],+1 972-245-7773,,
Saison,https://www.saisonsf.com/,[],+1 415-828-7990,https://z-p15.www.instagram.com/saisonsf/?hl=fb-ha,
LAW Restaurant,http://www.lawrestaurant.com/,[],+1 972-717-2420,https://www.instagram.com/lawrestaurant/,https://www.facebook.com/LAWRestaurant/
FIG,http://eatatfig.com/,[],+1 843-805-5900,,
République Café Bakery & République Restaurant,http://www.republiquela.com/,[],+1 310-362-6115,https://www.instagram.com/republiquecafebakery/,
DISH Restaurant,http://dishdowntown.getbento.com/,[],+1 402-475-9475,https://www.instagram.com/dishdowntown/,https://www.facebook.com/dishdowntown/
