,username,screen_name,date,tweet,hashtags
0,piero martinez,@pierom1228,2020-09-12 00:48:36,"RT @RevistaSemana: “No va a haber una sola marcha pacífica en Bogotá, no existe esa posibilidad. Que Claudia López las prohiba todas”. Esta…",[]
1,Leonardo Jmz 🛸,@Kenny_Dolph,2020-09-12 00:48:35,"RT @ChalecosAmarill: 🎥🛑En #Colombia al menos 13 personas ASESINADAS dejaron las protestas la noche del 9 de septiembre, a esto hay que suma…","[{'text': 'Colombia', 'indices': [26, 35]}]"
2,Hernán Velásquez R.,@VelsquezR,2020-09-12 00:48:35,"RT @elcuchoanticom: Buenas tardes.
Estos ""TERRORISTAS""fueron enviados desde ""BOGOTÁ"" a CARTAGENA por la CRIMINAL izquierda, con el objetivo…",[]
3,MICHEL CABALLERO,@MichelCaballero,2020-09-12 00:48:35,"De cómo @NTN24ve le dió la vuelta a la arepa. Para este medio de incomunicación, la policía de Bogotá paso de victi… https://t.co/mTt1nVly5Z",[]
4,Li Pedraza,@Licaperuza,2020-09-12 00:48:34,RT @josiasfiesco: Las multimillonarias pérdidas de los actos vandálicos en Bogotá https://t.co/e0ZicQLlO3,[]
5,David F. Salazar,@dfsb98,2020-09-12 00:48:34,RT @heidy_up: Ni @GustavoBolivar se hubiera escrito semejante novelón. Pretenden iniciar una cacería de brujas para criminalizar la protest…,[]
6,Manu Aguilar,@manuaguilar3,2020-09-12 00:48:34,"RT @petrogustavo: Las centrales obreras deben reunirse ta y convocar a paro nacional contra la represión.

Le pido a losnmovinientos social…",[]
7,Babies Forever Col,@BabiesCol,2020-09-12 00:48:34,RT @jarizabaletaf: Bogotá no eligió una alcaldesa sino a una activista del Petrismo #PetroYClaudiaSonLoMismo,"[{'text': 'PetroYClaudiaSonLoMismo', 'indices': [84, 108]}]"
8,Martha de Moreno,@marthagdemoreno,2020-09-12 00:48:33,RT @CGurisattiNTN24: PRIMICIA! en @LaNocheNTN24 Policías víctimas de los violentos ataques criminales en Bogotá narran los momentos de angu…,[]
9,Ultimabola,@Ultimabola1,2020-09-12 00:48:33,"RT @NoticiasRCN: En suba rincón, #Bogotá, la comunidad se volcó al rededor del CAI de policía, pero esta vez para limpiar los destrozos que…","[{'text': 'Bogotá', 'indices': [33, 40]}]"
