Title,Location,Company,Job description,Employement Type
Data Scientist (remote),"Toronto, Ontario, Canada", ,"Company Description

You will join a world-class team of engineers and data scientists from Facebook, Uber, Amazon and Google. We are a fast growing consulting firm based in Toronto with clients ranging from leading startups building impactful technologies to Fortune 500 companies looking to scale their engineering and data capabilities.

Job Description

We are looking for Data Scientists who are passionate about Machine Learning, and have deep knowledge in Statistics and Computer Science. You enjoy doing data science projects with structured and/or unstructured data and are motivated to productize scalable machine learning models. We will also rely on you to build data products to extract valuable business insights. Critical thinking and problem-solving skills are essential for this role.

Qualifications

BS (or higher, e.g., MS, or PhD) in Computer Science or related engineering field involving coding
Experienced implementing and scaling machine learning models in production environments
Strong understanding of machine learning theory
Hands on experience with Statistics
Capable of quickly implementing prototypes of cutting-edge research papers
Proficient in Python (i.e. Pandas, Numpy, scikit-learn, etc), R, TensorFlow, amongst other data science related tools and libraries
Analytical mind and strong business acumen

If you're passionate about data science and is hungry to learn, please apply!

Additional Information

We have very competitive compensation.

Work on cool projects based on your interests and skills. We believe in accountability and NOT micro-management.
Show less",Full-time
Data Scientist (remote),"Toronto, Ontario, Canada", ,"Company Description

You will join a world-class team of engineers and data scientists from Facebook, Uber, Amazon and Google. We are a fast growing consulting firm based in Toronto with clients ranging from leading startups building impactful technologies to Fortune 500 companies looking to scale their engineering and data capabilities.

Job Description

We are looking for Data Scientists who are passionate about solving real world problems. You enjoy working with both structured and/or unstructured data and are motivated to productize scalable machine learning models. Critical thinking and problem-solving skills are essential for this role.

Qualifications

BS (or higher, e.g., MS, or PhD) in Computer Science or related engineering field involving coding
Experienced implementing and scaling machine learning models in production environments
Strong understanding of machine learning theory
Hands on experience with Statistics
Capable of quickly implementing prototypes of cutting-edge research papers
Proficient in Python (i.e. Pandas, Numpy, scikit-learn, etc), R, TensorFlow, amongst other data science related tools and libraries
Analytical mind and strong business acumen

If you're passionate about data science and is hungry to learn, please apply!

Additional Information

We have competitive compensation.
Work on cool projects based on your interests and skills. We believe in accountability and NOT micro-management.
Show less",Contract
Data Scientist (remote),"Toronto, Ontario, Canada", ,"#TeamNextdoor

Nextdoor is where you connect to the neighborhoods that matter to you so you can belong. Our purpose is to cultivate a kinder world where everyone has a neighborhood they can rely on.

Neighbors around the world turn to Nextdoor daily to receive trusted information, give and get help, get things done, and build real-world connections with those nearby — neighbors, businesses, and public services. Today, neighbors rely on Nextdoor in more than 295,000 neighborhoods across 11 countries.

Meet Your Future Neighbors

At Nextdoor, Machine Learning is one of the most important teams we are growing. Machine learning is transforming our product through personalization, and driving major impact across different parts of our platform including newsfeed, notifications, ads relevance, connections, search, and trust. Our machine learning team is lean but hungry to drive even more impact and make Nextdoor the neighborhood hub for local exchange. We believe that ML will be an integral part of making Nextdoor valuable to our members. We also believe that ML should be ethical and encourage healthy habits and interaction, not addictive behavior. We are looking for great machine learning engineers who believe in the power of the local community to empower our members to make their communities great places to live.

The Impact You’ll Make

You will be part of an avid and impactful team building data-intensive products, working with data and features, building machine learning models, and sharing insights around data and experiments. You will be working closely with the product team and the Data Science team on a daily basis. Finally, you will help build the foundational patterns that ML engineers will use for years to come as we introduce more and more machine learning into our platform.
Help build a scalable and reliable machine learning platform that manages features, model training, testing, and deployment
Collect and gather datasets to build machine learning models that make real-time decisions for the Nextdoor platform
Deploy ML models into production environments and integrate them into the product
Run and analyze live user-facing experiments to iterate on model quality by measuring impact on business metrics
Collaborate with other engineers and data scientists to create optimal experiences on the platform
We have Machine Learning Engineer positions across multiple tracks including ML Infra, Feed, Notifications, Ads, Network Growth, and Knowledge Graph.

What You’ll Bring To The Team
Master’s Degree or Ph.D. in Computer Science, Applied Math, Statistics, or a related field
Deep understanding of machine learning concepts (e.g. deep learning) and applications (e.g. recommender systems, knowledge graph)
Internship in machine learning engineering in a related field (e.g. social networking, e-commerce)
Experience programming in Python, Java, or Scala
Effective communication and collaboration skills
Ability to be flexible and adaptable
Desire to learn about new technologies and systems
Passion for the Nextdoor’s mission and purpose
Bonus Points
Industry experience of applying machine learning at scale
At Nextdoor, we empower our employees to build stronger local communities. To create a platform where all feel welcome, we want our workforce to reflect the diversity of the neighbors we seek to serve. We encourage everyone interested in our purpose to apply. We do not discriminate on the basis of race, gender, religion, sexual orientation, age, or any other trait that unfairly targets a group of people. We always consider qualified applicants with arrest and conviction records.
Show less",Full-time
Data Scientist (remote),"Toronto, Ontario, Canada", ,"Description

We are looking for someone with a big interest in AI of course but mostly AI applied to the physical world, in real world problems. If the idea of bridging the gap between the digital world and the physical world through AI is appealing for you, then you might find great satisfaction working with us. 

We like to challenge all problem we face from first principle. We are looking for someone creative, able to not only search for existing solutions effectively but most importantly to create novel solutions to new problems.

We are an early stage startup so there's plenty of room to grow! We are working with passion and dedication and we encourage each other to become the best version of ourselves. We like to have fun and nerd out of a broad variety of subjects. We approach every problem with a lot of humility but all the ambition in the world. 

Responsibilities

Designing and developing machine learning and deep learning systems
Running machine learning tests and experiments
Implementing appropriate ML algorithms
Study and transform data science prototypes
Research and implement appropriate ML algorithms and tools
Develop machine learning applications according to requirements
Select appropriate datasets and data representation methods
Run machine learning tests and experiments
Perform statistical analysis and fine-tuning using test results
Train and retrain systems when necessary
Extend existing ML libraries and frameworks
Keep abreast of developments in the field

Requirements

You like to think about problems in terms of first principles
From that first principle understanding, you like to create solutions. Searching for existing solutions is great and a required skill but we are seeking highly creative people, because most of the time, you’ll not find much out there 
Proven experience as a Machine Learning Engineer or similar role
Understanding of data structures, data modeling and software architecture
Spatial modeling aptitudes and able to conceptualize abstract spacetime structures. 
Deep knowledge of math (linear algebra and calculus), probability, statistics and algorithms
Experience with Computer Vision from 2D to 3D/4D ML models. 
Experience with Differentiable Rendering & ML 3D reconstruction from 2D.  
Ability to write robust code in Python, C/C++, JavaScript
Familiarity with machine learning frameworks (like PyTorch or TF/Keras) and libraries (such as scikit-learn and numpy)
Experience with embedded ML models development (NVIDIA Jetson) and performance optimization. 
Excellent communication skills
Ability to work in a team
Outstanding analytical and problem-solving skills

Scholarity

Nice to have but if you can do the above we’re good with that! BSc in mathematics/physics or CS/EE but MSc preferred.

We need someone with at least 3 years of experience.

The applicant must live in Canada. It is preferable in the province of Quebec.
Show less",Full-time
Data Scientist (remote),"Toronto, Ontario, Canada", ,"Company Description

It all started with an idea at Block in 2013. Initially built to take the pain out of peer-to-peer payments, Cash App has gone from a simple product with a single purpose to a dynamic app, bringing a better way to send, spend, invest, borrow and save to our millions of monthly active users. With a mission to redefine the world's relationship with money by making it more relatable, available and accessible, at Cash App you'll have the opportunity to make a real-world impact with your career.

Today, Cash App has thousands of employees around the world with a culture geared toward creativity, collaboration and impact. We’ve been a distributed team since day one, and continue to value working across time zones and continents both remotely and in our Cash App offices.

Our offices are great, but many of our roles can be done remotely from the countries where Block operates. We tailor our experience to champion our employees’ creativity and productivity wherever they are.

Job Description

Machine Learning at Cash App has swiftly grown to become a central function of the business, with over 120 people working on solving some of the most cutting edge ML questions in FinTech. Our team is continuing to grow and we’re looking for Engineers with experience developing ML pipelines and infrastructure to join us and build out the next generation platform to power use cases across the company. Across the team, we employ methods ranging from simple heuristics to Deep Learning technology to improve our performance and services. We’re also excited to explore new directions with the team to continue pushing the boundaries of what’s possible.

Our ML Engineers operate embedded in product-focused Workstreams and work in close collaboration with Data Scientists, ML Modelers and Software Engineers from across Cash App.

Problems You’d Work On
Design elegant ML pipelines and services as well as prototype new approaches and productionize solutions at scale for our 36+ million active users
Create a world class platform for training, hosting and maintaining ML models
Apply ML and engineering best practices to shape how Cash App develops, tests and maintains ML-platform solutions
Help design and execute our long-term Machine Learning strategy across Cash App
You Have

Qualifications
A degree in Computer Science, Computer Engineering, or a related technical field. A graduate degree is a nice to have
3+ years of experience in software development and demonstrated technical initiative and leadership on previous projects
Curiosity and a passion for Cash App's mission of economic empowerment
Experience helping your teammates grow through mentorship and providing constructive feedback
A desire to be hands-on and help invent the future of AI
The ability to work autonomously in the rapidly evolving world of ML
Experience or knowledge in ML is helpful but not a prerequisite: if you are a solid software engineer, then we are happy to train you up in the mysterious ways of ML
Stack

We value general engineering skill and versatility over existing domain knowledge, but here’s a sample of what we currently use:
Python, Java and Kotlin
Tensorflow and PyTorch
AWS, GCP, and Kubernetes
MySQL, DynamoDB, Kafka, Apache Beam and Google DataFlow
Additional Information

We’re working to build a more inclusive economy where our customers have equal access to opportunity, and we strive to live by these same values in building our workplace. Block is a proud equal opportunity employer. We work hard to evaluate all employees and job applicants consistently, without regard to race, color, religion, gender, national origin, age, disability, pregnancy, gender expression or identity, sexual orientation, citizenship, or any other legally protected class.

We believe in being fair, and are committed to an inclusive interview experience, including providing reasonable accommodations to disabled applicants throughout the recruitment process. We encourage applicants to share any needed accommodations with their recruiter, who will treat these requests as confidentially as possible. Want to learn more about what we’re doing to build a workplace that is fair and square? Check out our I+D page.

Additionally, we consider qualified applicants with criminal histories for employment on our team, and always assess candidates on an individualized basis.

Block, Inc. (NYSE: SQ) is a global technology company with a focus on financial services. Made up of Square, Cash App, Spiral, TIDAL, and TBD54566975, we build tools to help more people access the economy. Square helps sellers run and grow their businesses with its integrated ecosystem of commerce solutions, business software, and banking services. With Cash App, anyone can easily send, spend, or invest their money in stocks or Bitcoin. Spiral (formerly Square Crypto) builds and funds free, open-source Bitcoin projects. Artists use TIDAL to help them succeed as entrepreneurs and connect more deeply with fans. TBD54566975 is building an open developer platform to make it easier to access Bitcoin and other blockchain technologies without having to go through an institution.
Show less",Full-time
Data Scientist (remote),"Toronto, Ontario, Canada", ,"Data Scientist

Granify is a rapidly growing technology company at the intersection of e-commerce, machine intelligence, and psychology. We’ve received investment from top investors, built a world-class team and a world-class product, and in the last year alone we generated over $650 million in incremental sales for many of the world's largest retailers!

We’re searching for an experienced Data Scientist who values mastery, authenticity, and positivity to help build and grow our product. As a key member of our Data Science team, you will work with and analyze vast amounts of behaviour and transaction data, and design and implement algorithms which predict e-commerce shopper actions and needs. This includes - but goes well beyond - recommendations. This is an amazing opportunity to design algorithms which will be responsible for helping and influencing real shoppers across the world in real-time! We have access to and act on millions of shopper sessions per day. If you are a highly technical, hands-on, and mission-driven person who has a passion for solving problems in the area of ML/AI and e-commerce optimization, then this is the role for you.

This is a full-time position. We are centrally located in Edmonton, but remote applications will also be considered.


RESPONSIBILITIES
Develop new and improve existing ML models that guide our interactions with shoppers
Help design and create ML/AI based tools to interact with shoppers
Evaluate performance statistics at an extremely detailed level and present insights and recommendations to teammates.
Analyze, interpret and use machine learning and data mining algorithms on the enormous amount of behavioural and transactional data
Recommend new experiments supported by your findings and research
Dissect online stores’ shoppers data to identify opportunities to increase conversion, order value, lifetime value, and customer delight
Write code to implement your experiments
Work closely with our developers and engineers to bring your new experiments to life
Solve a wide variety of complex problems as they arise that will often require significant analysis of our data, research and deep thinking
Participate in brainstorming sessions with your teammates to determine opportunities for improvement and experiments
Research, design and prototype intelligent systems with the aim of enhancing online shopper experience.
Keep up-to-date with the latest papers in artificial intelligence and machine learning to propose solutions for real problems in e-commerce.
Help to build infrastructure to support the evolution of our shopper interaction toolset
Collaborate with other DS team members, mentor junior DS, participate in code reviews, and share knowledge.
Participate in active maintenance and code reviews in a large codebase, suggesting and implementing changes as appropriate.
Troubleshoot, test, and debug to your heart’s content.


ABOUT YOU
BSc (Msc/Phd preferred) in Computer Science, Machine Learning, Artificial Intelligence, Statistics, Mathematics, Engineering, Physics, or a related discipline, with (at minimum) graduate-level courses in machine learning, or equivalent practical experience.
At least 2 years of real-world experience implementing Machine Learning models
Comfortable jumping into an existing ML modelling code base
Proficient in at least one programming language, preferably Python (focus on ML)
Demonstrated ability to apply statistical or data mining techniques to solve real problems
Ability to organize, interpret, and analyze large amounts of data
Advanced skills and experience in machine learning and data mining
Strong research experience in machine learning, preferably in one or more of the following (in no particular order): Reinforcement learning, Recommender and/or ranking systems, Deep learning and deep generative models, Computer vision, NLP
Intimately familiarity with the DS workflow: Data gathering and cleaning, Feature engineering, Model design, coding, hyperparameter tuning and validations
Proficient in deep learning frameworks like Tensorflow, PyTorch, etc. and scientific computing packages like NumPy. Able to implement an algorithm as described in an academic paper using these frameworks in quality code.
Knowledge of various ML and statistical tools and libraries (e.g. TensorFlow, sciPy, R, and similar)
Good intuition for applying ML/AI theory to make business-oriented products with minimal guidance.


BONUS EXPERIENCE
Experienced using shopper data
Worked with ‘Big data’
Hands-on Knowledge of distributed computing frameworks (e.g. Spark, AWS, Flink)
Experience in online advertising/marketing analytics, behavioral targeting or web analytics
Experience with distributed databases


OUR TECH STACK
We are using AWS cloud and the ML stack includes Python, TensorFlow, Spark, DataBricks and Hadoop. We have dedicated Data Engineers and Software Developers who provide support and tools needed for research and help with implementation of research outcomes.


ABOUT GRANIFY
Granify merges machine intelligence and digital psychology to automatically increase sales for retailers. This is the future and it’s an exceptionally interesting world to delve into every day! Our mission is to provide the ultimate experience for every shopper at any given point in time and, in doing so, completely redefine the trillion-dollar e-commerce market. We hope you can help us achieve this ambitious mission!

Granify is backed by early investors in Tesla, Facebook, SpaceX, AirBnB, Pinterest, Palantir, Alibaba, and Yelp and won Top E-Commerce Solution and Top Digital Startup at the DAA Awards!
Show less",Full-time
Data Scientist (remote),"Toronto, Ontario, Canada", ,"At Spotify Advertising, our part of that mission is to build the next generation advertising platform for audio which can scale the freemium experience for hundreds of millions of fans and tens of thousands of advertisers. This scale brings unique challenges as well as tremendous opportunities to define the insights product for our business.

Music and podcasts for everyone, no credit card needed. It’s a promise our platform was built on. And here in the Advertising R&D team, we’re still building on that vision. We work at the intersection of advertising and messaging technologies to connect millions of brands to billions of fans and we are responsible for the success of Spotify’s freemium business model. We’re paving the way for a sustainable global Spotify business that allows even more creators to make a living off their art.

We are looking for a Data Scientist to work on our centralized Ads Insights team to surface new opportunities and drive deep understanding of metrics across our R&D organization. In this role, you will study user behavior, pivotal initiatives, revenue opportunities, business models and new features, to bring data and insights into every decision we make for Spotify listeners, creators and advertisers. Learn more about our work by reading this article!

On our Ads Core Insights team, you’ll collaborate with User Researchers, Analytics Engineers, Behavioral Scientists, other Data Scientists and Data Visualization experts to influence the strategy and direction of Spotify ad products. Above all, your work will impact the way the world experiences music and podcasts.

What You'll Do

Work closely with cross-functional teams of data scientists, user researchers, product owners, engineers, designers and business and marketing partners, who are passionate about Spotify’s success
Perform analyses on large sets of data to extract insights to drive product & business decisions
Deliver standardized reporting and dashboards, from design through to delivery and administration
Influence strategy by leading foundational research & experimentation initiatives to develop a deeper understanding of our products and our users
Work closely with Analytics Engineers to identify upcoming data needs and enhance existing datasets or build new ones to fill those needs
Contribute to the development of the wider analytics and data science community at Spotify

Who You Are

You have 3+ years experience in a similar data science or analytics role and a degree in economics, computer science, statistics, or mathematics or another quantitative subject areaTechnical and statistical competence to perform sophisticated analytics on datasets with SQL, coding skills (such as Python, Java or Scala), analytics libraries (Pandas/Numpy, Seaborn, Dplyr, GGplot, etc), & other visualization tools (Tableau)
You deliver impactful insights from your data to drive action upon your findings and are comfortable managing stakeholders at all levelsYou are an effective communicator who values building strong relationships with colleagues and have the ability to distill sophisticated thoughts into simple, impactful recommendations
Exhibit a growth mindset, are quick to learn new methods and are excited by working on a constantly evolving team
Thrive in exploratory spaces where problems may lack definition and are able to create a vision and frameworks that guide teams in solving user and business problems effectively
Experience in creating and using exploratory dashboards that turn complex data challenges into easy to understand insights
Understand the importance of qualitative methodologies in partnership with quantitative methodologies
It’s a plus if you have worked in an analytics role within an advertising function

Where You'll Be

We are a distributed workforce enabling our band members to find a work mode that is best for them
For this role, it can be within the Americas region in which we have a work location
Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here.
We operate within the Eastern Standard time zone for collaboration
Show less",Full-time
Data Scientist (remote),"Toronto, Ontario, Canada", ,"The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers. 
 Responsibilities
Analyze raw data: assessing quality, cleansing, structuring for downstream processing
Design accurate and scalable prediction algorithms
Collaborate with engineering team to bring analytical prototypes to production
Generate actionable insights for business improvements

Qualifications
Bachelor's degree or equivalent experience in quantative field (Statistics, Mathematics, Computer Science, Engineering, etc.)
At least 1 - 2 years' of experience in quantitative analytics or data modeling
Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms
Fluency in a programming language (Python, C,C++, Java, SQL)
Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)
Show less",Part-time
Data Scientist (remote),"Toronto, Ontario, Canada", ,"Company Description

About Huawei

Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices. With integrated solutions across four key domains – telecom networks, IT, smart devices, and cloud services – we are committed to bringing digital to every person, home and organization for a fully connected, intelligent world.

At Huawei, innovation focuses on customer needs. We invest heavily in basic research, concentrating on technological breakthroughs that drive the world forward. We have more than 180,000 employees, and we operate in more than 170 countries and regions. Founded in 1987, Huawei is a private company fully owned by its employees.

About Huawei Canada

Huawei Canada helps connect Canadians to world-leading high-speed wireless Internet – and supplies them with cutting-edge smart devices. In partnership with Canadian telecommunications providers, we work to bring the benefits of a reliable and secure digital experience to every person, home and organization, including those in rural and remote areas of the country. Huawei first came to Canada in 2008. Today, the company employs more than 1,100 Canadians in research and development, IT, sales and other fields. Huawei Canada is an active supporter of many charitable and community initiatives from coast to coast.

Job Description

You will have the opportunity to work on real-world problems that impact people across the globe. Many of our researchers are actively involved in publishing conference and journal papers, inventing patents, and solving challenging technical problems. With cutting-edge tools, access to highly specialized leaders and researchers, and significant funding, you will be well-supported to fulfill your potential and pursue your professional dreams.

Do a thorough analysis of cutting-edge technologies in data security and data privacy fields.
Prepare and present the result internally in the company to attract interest and approval for projects using those technologies.
Analyze, implement, and benchmark machine learning/deep learning-related data security and privacy protection algorithms from published papers/open sources/products;
Research and build Proof-of-Concept (PoC) applications leveraging ML/DL algorithms for data security and privacy protection;
Perform integration and test procedures and create technical documentation;
Participate in the ongoing support of applications and communicate insights to clients that lead to quantifiable business impact;
Involving in education and research cooperation with universities and industries.
Keeping up-to-date on recent advances in machine learning and data security and privacy fields
Qualifications

Master's or Ph.D. degree in Computer Science, or Machine learning related field; or equivalent work experience in the field
Extensive knowledge in machine learning, deep learning; good understanding of data security and privacy concepts: encryption, authentication, access control, anonymization, differential privacy.
Solid programming skills; good knowledge in developing and debugging in C/C++ and experience with scripting languages such as Python and shell scripts.
Experience with deep learning frameworks, e.g. Tensorflow, Pytorch, MxNet
Experience with working with and managing Git.
Proficiency in Linux environments, docker
Good communication and documentation skills

Additional Information

We thank all applicants for their interest, however only those candidates selected for interviews will be contacted.
Show less",Contract
Data Scientist (remote),"Toronto, Ontario, Canada", ,"As a Data Scientist working at TTEC Digital, you will work on a team with diverse clients and industries to create data-driven segmentations, develop cutting edge algorithms, curate predictive and descriptive customer features, and provide expert insight to increase our understanding of customer behavior and needs. You will help clients turn data into actionable insights that drive tangible outcomes, improve performance and help clients lead the market. This position requires in-depth understanding and use of statistical and data analysis tools.

What You’ll Be Doing

Work within our proprietary big data cloud computing platform;
Participate in the development, validation and delivery of machine learning algorithms and statistical models;
Develop, validate and execute machine learning algorithms and predictive models to investigate problems, detect patterns and recommend solutions;
Perform analyses of structured and unstructured data to solve moderately complex business problems by utilizing advanced statistical techniques and mathematical analyses;
Explore, examine and interpret large volumes of data in various forms;
Leverage a mixture of data science methods such as SVM, neural nets, decision trees, and regression models to support the delivery of predictive analytics solutions;
Work with senior data scientists to develop requirements and technical specification documents for use by data engineers;
Create and evaluate the data needs of assigned projects and assure the integrity of the data;
Explore existing data and recommend additional sources of data for improvements;
Document projects including business objectives, data gathering and processing, modeling methodology, detailed set of results and analytical metrics;

What You’ll Bring To Us

Masters in Data Science, Statistics, Economics, Computer Science, Mathematics, or related applied quantitative field; PhD is a plus;
1-3 years' experience developing predictive analytics solutions and using machine learning algorithms;
Experience delivering solutions using regression modeling or machine learning techniques, experience with both is highly desired;
Proficient level of understanding in machine learning and deep learning methods, including familiarity with techniques in clustering, classification, regression, optimization, recommendation, natural language processing;
Ability to identify effective, relevant statistical and/or mathematical methods to solve complex business problems;
Experience working within either AWS or MS Azure big data environments; experience with Databricks is strongly desired;
Experience developing and implementing predictive analytics solutions in Python; experience with PySpark, R or SAS is highly desired;
Experience using deep learning libraries (PyTorch, Tensor Flow, Keras) is strongly desired;
Experience in developing DS solutions for digital marketing is strongly desired;
Experience with data wrangling both structured and unstructured data;
Experience with text analytics or speech analytics is desired;
Ability to independently code SQL queries to extract data from databases and manipulate large volumes of data (both tall and wide format);
Ability to translate client requests into approach statements and project plans;
Ability to communicate results of advanced analytic solutions in clear business terms to clients and senior decision makers;
Ability to work in a highly collaborative, team-oriented environment;
Expert in the use of the MS Office suite of products, especially Excel and PowerPoint, present results to clients and colleagues

About TTEC

Our business is about making customers happy. That’s all we do. Since 1982, we’ve helped companies build engaged, pleased, profitable customer experiences powered by our combination of humanity and technology. On behalf of many of the world’s leading iconic and disruptive brands, we talk, message, text, and video chat with millions of customers every day. These exceptional customer experiences start with you.

TTEC is proud to be an equal opportunity employer where all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. TTEC embraces and is committed to building a diverse and inclusive workforce that respects and empowers the cultures and perspectives within our global teams. We strive to reflect the communities we serve, by not only delivering amazing service and technology, but also humanity. We make it a point to make sure all our employees feel valued, belonging, and comfortable being their authentic selves at work. As a global company, we know diversity is our strength because it enables us to view things from different vantage points and every individual to bring value to the table in their own unique way. But don’t take our word for it, check out some of the diversity and women in leadership awards on TTECjobs.com.

Primary Location

CA-ON-London

Job

Consulting

Other Locations

Canada

Show less",Full-time
